price,lon,amenities,address,lat,prize_range,name,link,tenure,size
"RM 345,000",101.656483,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur",3.068471,,"Oug Parklane, Old Klang Road, Jalan Klang Lam..",https://www.iproperty.com.my/property/oug-parklane-jalan-klang-lama-(old-klang-road)-5310175,Freehold,950 sq. ft.
"RM 350,000",101.690619,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","JLN SEJAHTERA 5/1 serdang heights, 43300, Selangor",3.027944,,"Cahaya Villa Residence, Bukit Serdang, Seri K..",https://www.iproperty.com.my/property/cahaya-villa-residence-seri-kembangan-3091071,Freehold,875 sq. ft.
"RM 350,000",101.741217,"2 Bedroom(s),1 Bathroom(s)","pandana perdana, Kuala Lumpur",3.126379,,"Taman Cheras Indah, Cheras",https://www.iproperty.com.my/property/2-sty-terrace-link-house-cheras-5350902,Freehold,"1,000 sq. ft."
"RM 265,000",101.611623,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Meranti, PJU 9, 52200, Selangor",3.181858,,"Sd Apartments, Bandar Sri Damansara, Petaling..",https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5389406,Freehold,811 sq. ft.
"RM 338,000",101.766085,"3+1 Bedroom(s),2 Bathroom(s)","Jalan Cu 1/A, 56100, Selangor",3.053655,,"Green Suria Apartment, Taman Cheras Utama, Ch..",https://www.iproperty.com.my/property/green-suria-apartment-cheras-4382021,Freehold,"1,024 sq. ft."
"RM 265,000",101.602509,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","No. 3, Persiaran Meranti, PJU 9,, 41050, Selangor",3.188519,,"Sd Apartments Ii, Bandar Sri Damansara",https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5412504,Freehold,811 sq. ft.
"RM 340,000",101.608441,"3 Bedroom(s),2 Bathroom(s)","Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...",3.205139,,"Suria Kipark Damansara, Kepong",https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-5619997,Freehold,976 sq. ft.
"RM 335,000",101.609244,"3 Bedroom(s),2 Bathroom(s)","Kipark Damansara, 52200 Kepong, WP Kuala Lumpur, 52200, Kual...",3.206151,,"Suria Kipark Damansara, Kepong",https://www.iproperty.com.my/property/suria-kipark-damansara-kepong-4586158,Freehold,948 sq. ft.
"RM 260,000",101.615177,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",Selangor,3.194485,,"Sd Tiara Apartment, Sri Damansara, Bandar Sri..",https://www.iproperty.com.my/property/sd-tiara-apartment-bandar-sri-damansara-5358799,Freehold,820 sq. ft.
"RM 280,000",101.611623,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)","Persiaran Meranti, PJU 9, 52200, Selangor",3.181858,,"Sd Apartments, Bandar Sri Damansara, Petaling..",https://www.iproperty.com.my/property/sd-apartments-petaling-jaya-5574965,Freehold,811 sq. ft.
"RM 307,000",101.636345,"3 Bedroom(s),2 Bathroom(s)",Selangor,2.927483,,"The Arc, Cyberjaya",https://www.iproperty.com.my/property/the-arc-cyberjaya-3953655,Freehold,946 sq. ft.
"RM 300,000",101.811356,"3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)","Prima Saujana Permai, 43000, Selangor",3.01258,,"Pangsapuri Saujana Permai, Mutiara Height ,Ka..",https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5212480,Freehold,"1,001 sq. ft."
